drug,date,count,expected_count,zscore,n_context_reports,summary,dominant_organ_systems,dominant_severity,notable_pattern,confidence_caveat
amoxicillin,2022-03-02,54,29.07,2.71,8,"There was a statistically significant spike in adverse event reports for amoxicillin on 2022-03-02, with 54 reports received compared to an expected 29.07 based on a Holt-Winters forecast.","['skin', 'hypersensitivity']",life-threatening,"Reports from this time period often involved multiple medications, including amoxicillin, and were frequently associated with hospitalization.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
amoxicillin,2022-11-22,57,27.35,3.3,8,"On November 22, 2022, there was a statistically significant spike in adverse event reports for amoxicillin, with 57 reports received compared to an expected 27.35.","['skin', 'hepatic', 'cardiovascular']",life-threatening,"Reports from November 19, 2022, show a cluster of severe reactions, including anaphylactic shock, drug-induced liver injury, and toxic epidermal necrolysis.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
amoxicillin,2023-04-24,47,26.16,3.25,8,"On 2023-04-24, there was a statistically anomalous spike in adverse event reports for amoxicillin, with 47 reports exceeding the expected count of 26.16.","['reproductive', 'gastrointestinal', 'dermatological', 'cardiovascular', 'nervous system']",life-threatening,"Reports from 2023-04-21 and 2023-04-24 mention foetal exposure during pregnancy and premature delivery, suggesting a potential signal related to pregnancy.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
amoxicillin,2024-09-18,117,24.92,5.13,8,"There was a statistically significant spike in adverse event reports for amoxicillin on 2024-09-18, with 117 reports received, exceeding the expected count of 24.92.","['gastrointestinal', 'cardiovascular']",life-threatening,"Reports from 2024-09-16 show a cluster of severe adverse events, including anaphylactic reactions, anaphylactic shock, and febrile neutropenia, often in patients taking multiple medications.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
amoxicillin,2024-09-19,116,30.7,3.46,8,"There was a statistically anomalous spike in adverse event reports for amoxicillin on 2024-09-19, with 116 reports exceeding the expected count of 30.7.","['skin', 'musculoskeletal', 'cardiovascular']",life-threatening,"Reports included severe reactions such as anaphylactic reaction, febrile neutropenia, and cardiac arrest, often in patients taking multiple medications.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
atorvastatin,2022-03-02,127,73.8,3.78,8,"There was a statistically significant spike in adverse event reports for atorvastatin on 2022-03-02, with 127 reports exceeding the expected count of 73.8.","['nervous system', 'gastrointestinal system', 'musculoskeletal system', 'renal system', 'hematologic system']",severe,"Reports from this time window often involved multiple medications and complex medical conditions, with some patients experiencing severe adverse events such as hospitalization.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its validity and clinical significance.
atorvastatin,2022-10-05,41,95.65,-3.06,8,"On 2022-10-05, there were 41 adverse event reports for atorvastatin, which is lower than the expected 95.65 reports, indicating a statistically anomalous drop in reports.","['nervous system', 'gastrointestinal system']",mild,"The reports from 2022-10-02 show a mix of non-serious and serious adverse events, with some patients experiencing multiple symptoms. There is no clear pattern beyond the aggregate stats.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
atorvastatin,2023-06-05,109,76.91,2.5,8,"On June 5, 2023, there was a statistically anomalous spike in adverse event reports for atorvastatin, with 109 reports received, exceeding the expected count of 76.91.","['gastrointestinal', 'nervous system']",life-threatening,"Reports from June 2, 2023, suggest a possible association with polypharmacy, as many patients were taking multiple medications concurrently with atorvastatin.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
hydrochlorothiazide,2022-03-07,60,32.74,2.59,8,"On 2022-03-07, there was a statistically anomalous spike in adverse event reports for hydrochlorothiazide, with 60 reports received compared to an expected 32.74 based on Holt-Winters forecasting.","['cardiovascular', 'nervous system', 'musculoskeletal']",life-threatening,"Reports from 2022-03-04 show a mix of serious and non-serious events, including hospitalizations and a death, with patients taking various combinations of medications, including other diuretics and antihypertensives.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
hydrochlorothiazide,2022-09-26,61,34.49,2.59,8,"There was a statistically significant spike in adverse event reports for hydrochlorothiazide on 2022-09-26, with 61 reports exceeding the expected count of 34.49.","['eye', 'respiratory']",life-threatening,"The majority of reports were from patients taking hydrochlorothiazide in combination with other medications, particularly DUPIXENT.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
hydrochlorothiazide,2022-10-05,25,50.6,-2.61,8,"On 2022-10-05, there were 25 adverse event reports for hydrochlorothiazide, which is lower than the expected 50.6 reports, indicating a statistically anomalous drop.","['nervous system', 'circulatory system', 'renal system']",life-threatening,"Reports from 2022-10-02 show a mix of patients with various comorbidities and medications, including multiple antihypertensives and diuretics, but no clear pattern beyond the aggregate stats.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
hydrochlorothiazide,2022-11-17,59,38.08,2.75,8,"There was a statistically significant spike in adverse event reports for hydrochlorothiazide on 2022-11-17, with 59 reports received compared to an expected 38.08 based on Holt-Winters forecasting.","['cardiovascular', 'renal']",life-threatening,"Reports from this time window often involved elderly patients (ages 79-87) taking multiple medications, including hydrochlorothiazide, and experienced severe or life-threatening adverse events.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
hydrochlorothiazide,2023-07-31,61,30.46,3.4,8,"There was a statistically anomalous spike in adverse event reports for hydrochlorothiazide on 2023-07-31, with 61 reports received compared to an expected 30.46 based on Holt-Winters forecasting.","['renal', 'cardiovascular']",fatal,"Reports included a range of severe and fatal events, including sepsis, haemorrhagic stroke, and cardio-respiratory arrest, with some patients experiencing multiple adverse events.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its validity and potential clinical significance.
hydrochlorothiazide,2024-10-22,71,27.96,4.35,8,"There was a statistically anomalous spike in adverse event reports for hydrochlorothiazide on 2024-10-22, with 71 reports received compared to an expected 27.96 based on Holt-Winters forecasting.","['renal', 'cardiovascular', 'musculoskeletal']",life-threatening,"Reports from this time window include a range of severe and life-threatening events, including renal failure, transient ischaemic attack, and hospitalizations.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
ibuprofen,2023-08-02,143,40.42,4.14,8,"There was a statistically anomalous spike in adverse event reports for ibuprofen on 2023-08-02, with 143 reports exceeding the expected count of 40.42.","['nervous system', 'gastrointestinal system']",life-threatening,"Reports from patients taking multiple medications, including immunosuppressants and other pain relievers, were more common during this time period.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
ibuprofen,2023-08-09,204,49.24,4.08,8,"On August 9, 2023, there was a statistically anomalous spike in adverse event reports for ibuprofen, with 204 reports received, significantly higher than the expected 49.24.","['hepatobiliary', 'cardiovascular']",life-threatening,"Reports from August 6 and 7 suggest a possible association with co-administered medications, particularly those with overlapping indications or potential for drug interactions.","This signal is based on a limited sample of 8 reports and should be interpreted with caution, as it may not be representative of the broader population."
ibuprofen,2023-10-04,247,39.12,5.2,8,"There was a statistically significant spike in adverse event reports for ibuprofen on 2023-10-04, with 247 reports exceeding the expected count of 39.12.","['gastrointestinal', 'renal', 'dermatological']",mild,"Reports from 2023-10-01 show a mix of non-serious adverse events, including gastrointestinal and dermatological issues, with some reports mentioning co-administered medications such as TYLENOL, DUPIXENT, and ALBUTEROL SULFATE.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its significance.
ibuprofen,2023-10-29,215,20.61,3.09,8,"There was a statistically anomalous spike in adverse event reports for ibuprofen on 2023-10-29, with 215 reports exceeding the expected count of 20.61.","['gastrointestinal', 'musculoskeletal']",life-threatening,"Reports involved patients taking multiple medications, including other NSAIDs and immunosuppressants, and some reports described severe or life-threatening events.","This signal is exploratory and based on a limited sample of reports, and further investigation is needed to confirm its significance."
ibuprofen,2023-11-12,157,12.54,2.56,8,"There was a statistically anomalous spike in adverse event reports for ibuprofen on 2023-11-12, with 157 reports received, significantly higher than the expected 12.54.","['renal', 'gastrointestinal']",life-threatening,"Reports from 2023-11-09 show a variety of severe adverse events, including renal impairment, gastrointestinal perforation, and thrombocytopenia, often in combination with other medications.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
ibuprofen,2023-11-21,344,56.22,3.54,8,"There was a statistically anomalous spike in adverse event reports for ibuprofen on 2023-11-21, with 344 reports exceeding the expected count of 56.22.","['skin', 'cardiovascular']",mild,"Reports from this time window frequently involved co-administered opioids and other medications, with a focus on dependence and overdose.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
ibuprofen,2024-04-04,183,36.57,5.08,8,"On 2024-04-04, there was a statistically significant spike in adverse event reports for ibuprofen, with 183 reports exceeding the expected count of 36.57.","['skin', 'respiratory']",mild,"Reports from 2024-04-01 show a mix of non-serious and serious adverse events, including hypersensitivity reactions, skin and respiratory issues, and hospitalizations.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
lisinopril,2022-03-14,17,39.84,-2.51,8,"On 2022-03-14, there were 17 adverse event reports for lisinopril, which is lower than the expected 39.84 based on a Holt-Winters forecast, indicating a statistically anomalous drop in reports.","['renal', 'cardiovascular']",mild,"No clear pattern beyond the aggregate stats, but most reports were received on 2022-03-11, within the +/-3 day window.","This is an exploratory signal from a limited sample of 8 reports, not a clinical conclusion."
lisinopril,2023-01-20,68,32.7,3.51,8,"There was a statistically significant spike in adverse event reports for lisinopril on 2023-01-20, with 68 actual reports compared to an expected 32.7 based on Holt-Winters forecasting.","['gastrointestinal', 'cardiovascular']",fatal,"Reports from this time window often involved multiple medications and serious adverse events, including death.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
lisinopril,2023-10-19,64,31.71,3.6,8,"On 2023-10-19, there was a statistically anomalous spike in adverse event reports for lisinopril, with 64 reports received compared to an expected 31.71 based on Holt-Winters forecasting.","['immune system', 'gastrointestinal system', 'cardiovascular system']",life-threatening,"Reports from 2023-10-16 show a high frequency of hospitalization and life-threatening events, including sepsis, septic shock, and intestinal perforation, often in patients taking multiple medications.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
metformin,2022-03-02,111,68.61,3.05,8,"On 2022-03-02, there was a statistically anomalous spike in adverse event reports for metformin, with 111 reports exceeding the expected count of 68.61.","['renal', 'gastrointestinal']",life-threatening,"Reports from 2022-02-27 and 2022-02-28 suggest a possible association with renal impairment and lactic acidosis, particularly in patients taking metformin with other medications such as lisinopril and ciprofloxacin.",This signal is based on a limited sample of 8 reports and should be interpreted with caution.
metformin,2022-09-26,112,72.07,3.03,8,"There was a statistically significant spike in adverse event reports for metformin on 2022-09-26, with 112 reports received, exceeding the expected count of 72.07.","['skin', 'gastrointestinal', 'hepatic', 'peripheral', 'limb', 'gait', 'musculoskeletal', 'ocular', 'dermal']",mild,"Reports from 2022-09-23 show a recurring theme of patients taking multiple medications, including metformin, and experiencing a range of adverse events.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its significance.
metformin,2023-02-10,137,89.34,2.56,8,"There was a statistically significant spike in adverse event reports for metformin on 2023-02-10, with 137 reports exceeding the expected count of 89.34.","['cardiovascular', 'gastrointestinal']",life-threatening,"Reports included a range of severe and life-threatening events, including cardiac arrest, lactic acidosis, and myocardial infarction, with some patients experiencing multiple events.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its significance.
metformin,2023-11-24,116,73.07,3.0,8,"On November 24, 2023, there was a statistically anomalous spike in adverse event reports for metformin, with 116 reports received compared to an expected 73.07 based on a Holt-Winters forecast.","['nervous system', 'musculoskeletal system']",mild,"Reports from November 21, 2023, show a variety of adverse events, including neuropathy, arthralgia, and other non-serious issues, with no clear pattern beyond the aggregate stats.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
metformin,2023-12-25,27,73.98,-2.72,8,"On December 25, 2023, there were 27 adverse event reports for metformin, which is lower than the expected 73.98 based on a Holt-Winters forecast.","['renal', 'hepatic', 'cardiovascular']",life-threatening,"Reports from December 22, 2023, include severe adverse events such as lactic acidosis, acute kidney injury, and coma, often in combination with other medications.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
metformin,2024-12-05,110,71.82,2.57,8,"On December 5, 2024, there was a statistically anomalous spike in adverse event reports for metformin, with 110 reports received, exceeding the expected count of 71.82.","['gastrointestinal', 'nervous system']",severe,"Reports from December 2, 2024, indicate a pattern of gastrointestinal and nervous system adverse events, including intestinal obstruction, macular oedema, and neuropathy peripheral, often requiring hospitalization.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
omeprazole,2022-03-02,90,57.41,2.81,8,"There was a statistically anomalous spike in adverse event reports for omeprazole on 2022-03-02, with 90 reports received, exceeding the expected count of 57.41.","['gastrointestinal', 'cardiovascular', 'respiratory']",life-threatening,"Reports from this time window often involved multiple medications and severe adverse events, including hospitalizations and life-threatening conditions.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
omeprazole,2022-03-07,104,58.68,3.13,8,"There was a statistically anomalous spike in adverse event reports for omeprazole on 2022-03-07, with 104 reports received, significantly higher than the expected 58.68.","['gastrointestinal', 'renal', 'cardiovascular', 'neurological']",life-threatening,"Reports included a range of severe adverse events, including acute kidney injury, interstitial lung disease, and suspected suicide, with some patients experiencing multiple events.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
omeprazole,2023-02-01,89,53.08,3.45,8,"There was a statistically significant spike in adverse event reports for omeprazole on 2023-02-01, with 89 reports exceeding the expected count of 53.08.","['cardiovascular', 'respiratory']",life-threatening,"Reports from this time window often involved patients taking multiple medications, including omeprazole, and experienced severe or life-threatening adverse events.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
omeprazole,2023-04-28,96,59.54,3.79,8,"There was a statistically anomalous spike in adverse event reports for omeprazole on 2023-04-28, with 96 reports received compared to an expected 59.54 based on Holt-Winters forecasting.","['nervous system', 'cardiovascular system', 'gastrointestinal system']",life-threatening,"Reports from this time window often involved multiple co-administered medications, including vaccines, and a high proportion of patients experienced severe or life-threatening adverse events.","This signal is exploratory and based on a limited sample of 8 reports from a single day, and should not be considered a clinical conclusion."
sertraline,2022-12-13,57,29.39,3.35,8,"On December 13, 2022, there was a statistically anomalous spike in adverse event reports for sertraline, with 57 reports received compared to an expected 29.39 based on Holt-Winters forecasting.","['nervous system', 'gastrointestinal system', 'cardiovascular system']",life-threatening,"Reports from December 11 and 12 included multiple severe adverse events, including death, hospitalizations, and life-threatening conditions, with some patients taking multiple medications concurrently.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
sertraline,2024-09-05,56,28.07,3.71,8,"On 2024-09-05, there was a statistically anomalous spike in adverse event reports for sertraline, with 56 reports exceeding the expected count of 28.07.","['nervous system', 'skin', 'gastrointestinal system']",life-threatening,"Reports from 2024-09-02 show a mix of severe and life-threatening events, including suicide attempt, brain fog, and cardio-respiratory arrest, often in combination with other medications.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
sertraline,2024-09-13,61,31.33,3.09,8,"On September 13, 2024, there was a statistically anomalous spike in adverse event reports for sertraline, with 61 reports received compared to an expected 31.33 based on Holt-Winters forecasting.","['nervous system', 'cardiovascular system', 'gastrointestinal system']",life-threatening,"Reports from September 10, 2024, show a mix of severe and non-serious events, including death, hospitalization, and non-serious issues such as alopecia and hidradenitis, with multiple medications co-administered with sertraline.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
